run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,30,6,"[1.0, -1.0, 3.0, 0.0, -1.0]",12.0,0,0
1,2,90,6,"[0.5627677840439931, -1.4128124844666328, 3.32383302945379, 0.11406430468255668, -0.432203581787173]",12.0,8.0,0
1,3,150,6,"[0.7622723991206297, -1.4426059715254722, 3.9250310982796344, 0.12836341138855012, -1.4181977129446888]",12.0,9.6,0
1,4,210,6,"[-0.010346347221758201, -0.8700113480868175, 4.273360275693524, -0.515856383536972, -1.0512474667404632]",12.0,10.285714285714286,0
1,5,270,6,"[-0.1964350377403803, 0.7966973438550786, 4.711621551149392, 0.8911029658324667, -2.131499080834467]",12.0,10.666666666666666,0
1,6,330,6,"[-1.7146735022178023, 2.6175544248799953, 4.437139748819121, -0.20096491229735203, -1.2893478117520418]",12.0,10.909090909090908,0
1,7,390,6,"[-3.6225828808707714, 1.839436854754996, 4.1675134552357385, 1.551836735188367, -2.6524236060975657]",12.0,11.076923076923077,0
1,8,450,6,"[-3.527214449357126, 0.6913881888864588, 2.994676701961901, 1.0547683286997145, -1.1149096956589064]",12.0,11.2,0
1,9,510,6,"[-3.08768039291192, 1.344961381287538, 3.730444348937925, 0.4768551263944507, -0.30640593659625903]",12.0,11.294117647058824,0
1,10,570,6,"[-1.4297183278035774, 1.218450352850764, 2.20893992442205, 2.5690807467669012, -0.7066069733988951]",12.0,11.368421052631579,0
1,11,630,6,"[-2.708300859461473, -0.9227268380289879, 0.5228615979230706, 1.0607914343833078, -0.6728827815301583]",12.0,11.428571428571429,0
1,12,690,6,"[-2.9009058169112896, -0.628646632039148, 2.4102735823211168, 2.7835108663240735, -1.1115054452532374]",12.0,11.478260869565217,0
1,13,750,6,"[-3.484291327466983, -1.712459671677163, 2.961566408249209, 3.7478807412967923, -2.1560886432390927]",12.0,11.52,0
1,14,810,6,"[-2.469634185477035, -1.1851198408930708, 1.6493031126878699, 4.593555698663032, -0.6854316608176485]",12.0,11.555555555555555,0
1,15,870,6,"[-3.956448441079843, -1.2850571979192151, 2.3391021014516125, 3.6831990639971144, -1.4113665029730533]",12.0,11.586206896551724,0
1,16,930,6,"[-3.0240944593076646, -0.7725723168471319, 2.034813932324486, 2.4996056296043854, -0.45803838238064]",12.0,11.612903225806452,0
1,17,990,6,"[-2.895293251044117, -0.9396563885851632, 1.082398728138331, 0.10154348117665957, -0.8140586026850729]",12.0,11.636363636363637,0
1,18,1050,6,"[-3.7945337744670082, -1.653641585932393, 0.4684491072170722, -0.15168943230599097, 0.07422869146747635]",12.0,11.657142857142857,0
1,19,1110,6,"[-3.8053535942898487, -0.9224013272760638, 0.5347918229366266, -0.7283479860461064, 0.19329368057254315]",12.0,11.675675675675675,0
1,20,1170,6,"[-4.72392484931206, 0.04996131843678575, -0.08619795668389796, -1.549107319175804, -1.4427810874560298]",12.0,11.692307692307692,0
1,21,1230,6,"[-4.201752691920907, 1.0001962469522594, 0.11298202676144542, -2.3300978008385957, -1.7875960879942203]",12.0,11.707317073170731,0
1,22,1290,6,"[-1.4517403099131028, 0.46759151687437917, 1.716690876386774, -1.98749122218532, -2.3831042329804486]",12.0,11.720930232558139,0
1,23,1350,6,"[-0.9322587399735061, 0.977341971659655, 0.1425675756984146, -2.4442751507882305, -1.9850673304924056]",12.0,11.733333333333333,0
1,24,1410,6,"[-0.04959375376201791, 0.04306106283662503, 2.7264674608166066, -1.3152015864807514, -1.7600738710448876]",12.0,11.74468085106383,0
1,25,1470,6,"[0.3774437641706778, -0.6109973087247857, 1.2978187454053585, -1.0629163677695628, 0.1491177643588364]",12.0,11.755102040816327,0
1,26,1530,6,"[-0.47680962200473775, -0.8072306954490485, -0.37857779067436925, 0.5893040945328127, -2.291996229015274]",12.0,11.764705882352942,0
1,27,1590,6,"[0.9687363328861889, -2.223980664006455, -0.10726925835584789, -0.8780283637169959, -2.3589355411895205]",12.0,11.773584905660377,0
1,28,1650,6,"[-0.08545794262163042, -2.225528092795928, 0.24238557414710726, -1.3305302237456416, -1.5646294474726898]",12.0,11.781818181818181,0
1,29,1710,6,"[-1.0671196771672646, -1.866615005220244, -0.8379348123334733, -0.3173761662882313, -0.8834954408592011]",12.0,11.789473684210526,0
1,30,1770,6,"[-2.854180571334143, -2.0530530328414214, -0.24300766599920043, -0.43634504271027397, 0.749313207890969]",12.0,11.796610169491526,0
1,31,1830,6,"[-2.112565436602484, -1.991650581839434, 1.3585065456720002, -1.2478736222735172, -0.4266799924981475]",12.0,11.80327868852459,0
1,32,1890,6,"[-3.2450697459451776, -2.3904373863065826, -1.055493908172226, -1.8131446231955473, -1.6693444422157915]",12.0,11.80952380952381,0
1,33,1950,6,"[-2.5816952325641225, -1.9340310617230718, -1.4326958148241753, 0.6952869198896132, -0.4433602531861063]",12.0,11.815384615384616,0
1,34,2010,6,"[-2.2353037153474995, -2.017788248547813, -0.7369832330278199, -0.02915279774038093, -1.5014492042456453]",12.0,11.82089552238806,0
1,35,2070,6,"[-1.3094393477579327, -1.6378641983893505, -0.19083606317119473, -0.5472412025376374, -1.4216187642887634]",12.0,11.826086956521738,0
1,36,2130,6,"[-2.6660674079140065, -1.3109179481491724, -0.884414044351914, -0.9683714867169322, -1.7184388265499373]",12.0,11.830985915492958,0
1,37,2190,6,"[-0.7299113650905875, -0.7685491151633543, 0.44898031003717875, 1.2007290313023415, -1.9262262288802738]",12.0,11.835616438356164,0
1,38,2250,6,"[-2.030953374861625, -1.9966326370006076, -1.031562286353912, 0.4905261253425177, -0.3602666597248887]",12.0,11.84,0
1,39,2310,6,"[-1.0826795416532298, -0.553979810431086, -0.0021750658870722805, -1.9989308600856739, -0.5991890415587884]",12.0,11.844155844155845,0
1,40,2370,6,"[-2.537631526513549, 0.9763410456199291, 1.142836826346353, -2.395617164169922, -0.24609299688593356]",12.0,11.848101265822784,0
1,41,2430,6,"[-3.790611816190233, 0.43058074466198937, 1.0279983585042822, 0.6525123897918768, -2.04471631162921]",12.0,11.851851851851851,0
1,42,2490,6,"[-2.371660774119137, 2.269155027413103, -0.982294236402006, -1.0369595095812447, -2.5372147766919917]",12.0,11.855421686746988,0
1,43,2550,6,"[-3.162221298072581, 2.1925264644371003, -0.7231392143048818, -2.8642030061785033, -1.634871401019048]",12.0,11.858823529411765,0
1,44,2610,6,"[-3.907969123216863, 2.9928555376692865, -1.0133993192162416, -1.8259911528674635, -2.1144180035432933]",12.0,11.862068965517242,0
1,45,2670,6,"[-2.4705522651410226, 2.824250442894676, -2.531550176091492, -2.7603163070051804, -2.9111187113295807]",12.0,11.865168539325843,0
1,46,2730,6,"[-2.734347411469762, 1.6169156273758272, -1.7189176100854902, -2.273012582681748, -2.2012937553816014]",12.0,11.868131868131869,0
1,47,2790,6,"[-3.5653295019671143, 1.9213688996510276, -2.4211009941214527, -2.5866842336416154, -0.7395455491427421]",12.0,11.870967741935484,0
1,48,2850,6,"[-3.0887312811346943, 0.9643300014039418, -1.4930175381434767, -3.278182074928666, -2.404110684118271]",12.0,11.873684210526315,0
1,49,2910,6,"[-0.5901574668568119, 1.4932923491896075, -0.8773566928903829, -2.319805883979237, -1.377801727585311]",12.0,11.876288659793815,0
1,50,2970,6,"[0.10039701397314404, 0.989033085132137, 0.6463024517474181, -1.9149007245918532, -2.322783288171231]",12.0,11.878787878787879,0
1,51,3030,6,"[-0.35953745782386526, 3.3211996308296725, -1.8567587620062784, -1.503744855171715, -0.3632633879041023]",12.0,11.881188118811881,0
1,52,3090,6,"[0.3835639082565998, 4.241178425653381, -2.8377509148527036, -2.6859346756573093, -0.3866200793060015]",12.0,11.883495145631068,0
1,53,3150,6,"[1.784141116819122, 3.7924234264750174, -4.230707200710091, -2.3841169263048494, -0.7301566328995435]",12.0,11.885714285714286,0
1,54,3210,6,"[-0.12660840507922733, 5.168861870455117, -2.2833596179074522, -0.6070163391499108, -0.2648024833677769]",12.0,11.88785046728972,0
1,55,3270,6,"[-1.1687329100003294, 3.2983174496180023, -1.663020389946177, 0.21401150361475496, -0.3969365841360317]",12.0,11.889908256880734,0
