run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,52,"[4.0, 2.0, 3.0, 3.0, 4.0]",207.52912358930791,0,0
1,2,201,60,"[47.47183177915827, 13.54524083678279, 40.78547853887348, 22.098241838493582, 25.603829491964888]",100.47098050941176,103.24832019368557,0
1,3,302,33,"[62.53059681155878, -15.056162909748508, 24.69121256990846, 40.85199265938227, 17.404698078181312]",73.10256541796781,101.98678943666275,0
1,4,403,33,"[62.53059681155878, -15.056162909748508, 24.69121256990846, 40.85199265938227, 17.404698078181312]",73.10256541796781,94.56641923491065,0
1,5,504,9,"[62.16259560509028, 10.876260082912683, 20.013412199994697, 34.37509336689228, 6.918394476458584]",33.893865923088825,90.1200862965592,0
1,6,605,9,"[62.16259560509028, 10.876260082912683, 20.013412199994697, 34.37509336689228, 6.918394476458584]",33.893865923088825,80.67753733185951,0
1,7,706,9,"[62.16259560509028, 10.876260082912683, 20.013412199994697, 34.37509336689228, 6.918394476458584]",33.893865923088825,73.93668084714471,0
1,8,807,79,"[65.08538718522074, 0.49912957051606455, 20.865889280599532, 27.57720217345518, 6.121275698245675]",20.658761810638108,68.88312672911194,0
1,9,908,79,"[65.08538718522074, 0.49912957051606455, 20.865889280599532, 27.57720217345518, 6.121275698245675]",20.658761810638108,63.49621084962207,0
1,10,1009,79,"[65.08538718522074, 0.49912957051606455, 20.865889280599532, 27.57720217345518, 6.121275698245675]",20.658761810638108,59.187745919247114,0
1,11,1110,79,"[65.08538718522074, 0.49912957051606455, 20.865889280599532, 27.57720217345518, 6.121275698245675]",20.658761810638108,55.66334397620166,0
1,12,1211,29,"[65.44940143617023, 4.740126460179036, 21.70894546769098, 28.07791928697071, 7.409129048868891]",14.62633043904016,52.72682741093918,0
1,13,1312,29,"[67.35782071768485, 3.412630074117998, 25.065499806522375, 26.43584272804655, 9.257180239811431]",13.719150634979655,49.78263798670055,0
1,14,1413,60,"[66.615792017772, 5.238899709384799, 20.75090399559005, 27.707634514768504, 6.8157334615793035]",13.184714641900676,47.19514232275219,0
1,15,1514,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,44.91757435022396,0
1,16,1615,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,42.449318241151005,0
1,17,1716,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,40.27161442463793,0
1,18,1817,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,38.33601086730792,0
1,19,1918,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,36.60426128212633,0
1,20,2019,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,35.04577242810208,0
1,21,2120,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,33.63578109696128,0
1,22,2221,3,"[69.45234885051856, 5.0409954219975335, 22.27641327762612, 27.43520966071188, 7.622279772792254]",5.504413932197558,32.354028509129996,0
1,23,2322,60,"[70.77808887770676, 4.976401939049911, 22.136404505687914, 28.467282309151404, 8.054144099650536]",2.6731049640422455,31.183780668388255,0
1,24,2423,60,"[70.77808887770676, 4.976401939049911, 22.136404505687914, 28.467282309151404, 8.054144099650536]",2.6731049640422455,29.99424234766867,0
1,25,2524,60,"[70.77808887770676, 4.976401939049911, 22.136404505687914, 28.467282309151404, 8.054144099650536]",2.6731049640422455,28.89990479588148,0
1,26,2625,3,"[71.0233511129248, 4.884761611481255, 22.318316632616803, 28.798721430094044, 7.728998109204944]",2.367900209457737,27.88977912426991,0
1,27,2726,3,"[71.0233511129248, 4.884761611481255, 22.318316632616803, 28.798721430094044, 7.728998109204944]",2.367900209457737,26.943308958970757,0
1,28,2827,75,"[70.66809788227118, 4.92130165286572, 22.422207450737158, 29.356568990342677, 8.09629134333869]",1.9435631042572794,26.06446771952602,0
1,29,2928,75,"[70.66809788227118, 4.92130165286572, 22.422207450737158, 29.356568990342677, 8.09629134333869]",1.9435631042572794,25.23176453330801,0
1,30,3029,19,"[70.66254138140494, 4.433538948844816, 22.717064921347088, 29.07259469732524, 8.266282030129554]",1.1532618435426727,24.454593220188723,0
1,31,3130,19,"[70.66254138140494, 4.433538948844816, 22.717064921347088, 29.07259469732524, 8.266282030129554]",1.1532618435426727,23.70232876942688,0
1,32,3231,19,"[70.63393991356037, 4.446872149575385, 22.72505005491118, 28.96074716894726, 8.186603664736172]",0.8726726620547396,22.997095398533155,0
1,33,3332,19,"[70.63393991356037, 4.446872149575385, 22.72505005491118, 28.96074716894726, 8.186603664736172]",0.8726726620547396,22.326195227750837,0
1,34,3433,19,"[70.63393991356037, 4.446872149575385, 22.72505005491118, 28.96074716894726, 8.186603664736172]",0.8726726620547396,21.694771268590433,0
1,35,3534,19,"[70.63393991356037, 4.446872149575385, 22.72505005491118, 28.96074716894726, 8.186603664736172]",0.8726726620547396,21.099438888306768,0
1,36,3635,19,"[70.63393991356037, 4.446872149575385, 22.72505005491118, 28.96074716894726, 8.186603664736172]",0.8726726620547396,20.53718962791782,0
