run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,30,9,"[2.0, 1.0, -1.0]",6.0,0,0
1,2,60,19,"[1.0, 0.0, -1.0]",2.0,3.0,0
1,3,90,19,"[1.0, 0.0, -1.0]",2.0,2.6666666666666665,0
1,4,120,19,"[1.0, 0.0, -1.0]",2.0,2.5,0
1,5,150,19,"[1.0, 0.0, -1.0]",2.0,2.4,0
1,6,180,19,"[1.0, 0.0, -1.0]",2.0,2.3333333333333335,0
1,7,210,19,"[1.0, 0.0, -1.0]",2.0,2.2857142857142856,0
1,8,240,19,"[1.0, 0.0, -1.0]",2.0,2.25,0
1,9,270,19,"[1.0, 0.0, -1.0]",2.0,2.2222222222222223,0
1,10,300,19,"[1.0, 0.0, -1.0]",2.0,2.2,0
1,11,330,19,"[1.0, 0.0, -1.0]",2.0,2.1818181818181817,0
1,12,360,19,"[1.0, 0.0, -1.0]",2.0,2.1666666666666665,0
1,13,390,19,"[1.0, 0.0, -1.0]",2.0,2.1538461538461537,0
1,14,420,19,"[1.0, 0.0, -1.0]",2.0,2.142857142857143,0
1,15,450,19,"[1.0, 0.0, -1.0]",2.0,2.1333333333333333,0
1,16,480,19,"[1.0, 0.0, -1.0]",2.0,2.125,0
1,17,510,19,"[1.0, 0.0, -1.0]",2.0,2.1176470588235294,0
1,18,540,19,"[1.0, 0.0, -1.0]",2.0,2.111111111111111,0
1,19,570,19,"[1.0, 0.0, -1.0]",2.0,2.1052631578947367,0
1,20,600,19,"[1.0, 0.0, -1.0]",2.0,2.1,0
1,21,630,19,"[1.0, 0.0, -1.0]",2.0,2.0952380952380953,0
1,22,660,19,"[1.0, 0.0, -1.0]",2.0,2.090909090909091,0
1,23,690,19,"[1.0, 0.0, -1.0]",2.0,2.0869565217391304,0
1,24,720,19,"[1.0, 0.0, -1.0]",2.0,2.0833333333333335,0
1,25,750,19,"[1.0, 0.0, -1.0]",2.0,2.08,0
1,26,780,19,"[1.0, 0.0, -1.0]",2.0,2.076923076923077,0
1,27,810,19,"[1.0, 0.0, -1.0]",2.0,2.074074074074074,0
1,28,840,19,"[1.0, 0.0, -1.0]",2.0,2.0714285714285716,0
1,29,870,19,"[1.0, 0.0, -1.0]",2.0,2.0689655172413794,0
1,30,900,19,"[1.0, 0.0, -1.0]",2.0,2.066666666666667,0
1,31,930,19,"[1.0, 0.0, -1.0]",2.0,2.064516129032258,0
1,32,960,19,"[1.0, 0.0, -1.0]",2.0,2.0625,0
1,33,990,19,"[1.0, 0.0, -1.0]",2.0,2.0606060606060606,0
